ITEM_SKU,LINE_DESCRIPTION,COLOR,PRODUCT_TYPE,FINISHED_WIDTH,FINISHED_HEIGHT,PRINTED_WIDTH,PRINTED_HEIGHT,PRODUCT_SIZE,PANEL_COUNT,PRODUCT_NAME,MATERIAL,UOM,HISTORICAL_YIELD,MATERIAL_COST,UNIT_PRICE,QTY,PRODUCT_DESCRIPTION,STATUS,NUMBER_UP,CUT_OPTION,SPECIAL_DETAILS,FORMAT,PATTERN_WIDTH,PATTERN_HEIGHT,BOLT_SIZE,ORDER_TYPE,NUMBER_OF_COLORS,STORAGE_TYPE,Source
ADL3P,ARDLEY - FABRIC (GREEN/SAGE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
ADL4P,ARDLEY - FABRIC (COASTAL),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
ADL5P,ARDLEY - FABRIC (SEPIA),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AF3P,ALFORD STRIPE - FABRIC (PEONY),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AFT27P,AFTON - FABRIC (SUEDE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AFT5A1P,AFTON FABRIC OUTDOOR (FORGET ME NOT),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AFT5P,AFTON - FABRIC (FORGET ME NOT),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AFT8A1P,AFTON - FABRIC OUTDOOR (TIDAL),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AFT8P,AFTON - FABRIC (TIDAL),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AFT9P,AFTON - FABRIC (HAZE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AG1023208A1P,ARGUS - FABRIC OUTDOOR (SLATE GREEN),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AG1023208A4P,ARGUS - FABRIC OUTDOOR (SLATE GREEN),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AG1023208P,ARGUS - FABRIC (SLATE GREEN),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AG1023217P,ARGUS - FABRIC (UMBER),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AG1023281P,ARGUS - FABRIC (TOAST),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AG1023382P,ARGUS - FABRIC (SKY),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AN21P,ANGELINA - FABRIC (MALVA),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AN28P,ANGELINA - FABRIC (CREMA),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AN31P,ANGELINA - FABRIC (BALLET),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AN32P,ANGELINA - FABRIC (POWDER),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AN33P,ANGELINA - FABRIC (HEATHERED GRAY),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AN34P,ANGELINA - FABRIC (OAT),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AN35A1P,ANGELINA - FABRIC OUTDOOR (SEAGLASS),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AN35-CP,ANGELINA - FABRIC (CUSTOM WEDGEWOOD),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AN35P,ANGELINA - FABRIC (SEAGLASS),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
AN36P,ANGELINA - FABRIC (WEDGEWOOD),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
ANK1P,ANKARA - FABRIC (WEDGEWOOD),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
ANK35-CP,ANKARA - FABRIC (SHADOW ON CUSTOM),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
ANK4P,ANKARA - FABRIC (OAT),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
ANK5-CP,ANKARA - FABRIC (BALLET ON CUSTOM),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
ANK5P,ANKARA (FABRIC) -  BALLET,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BA1P,BASWA - FABRIC (FOG),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BA2P,BASWA - FABRIC (CELESTIAL),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BA3P,BASWA - FABRIC (TUMBLEWEED),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BA4P,BASWA - FABRIC (MOOD),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BA5P,BASWA - FABRIOC (SAFFRON),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BAR3P,BARGELLO - FABRIC (BLUE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BAR5P,BARGELLO - FABRIC (TURQUOISE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BAR6P,BARGELLO - FABRIC (ACORN),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BAR7A1P,BARGELLO - FABRIC OUTDOOR (BAY CREAM),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BAR7P,BARGELLO - FABRIC (BAY/CREAM),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BAR8A3P,BARGELLO -FABRIC OUTDOOR(CHARCOAL/CREAM),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BAR8P,BARGELLO - FABRIC (CHARCOAL/CREAM),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BF1P,BOXLEAF - FABRIC (BISQUE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BF3P,BOXLEAF - FABRIC (FIDDLEHEAD),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BF4A1P,BOXLEAF - OUTDOOR (LAGOON),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BNA20A2P,BINA - FABRIC OUTDOOR A2,,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BNA20P,BINA - FABRIC (INDIGO/OYSTER),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BNA40P,BINA - FABRIC (CAMEL/OYSTER),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BNA51P,BINA - FABRIC (OTTER/SAND),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BNA61P,BINA - FABRIC (PAPRIKA/SAND),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BR1003408P,BARRINGTON STRIPE - FABRIC (SLATE GREEN),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BR1003410P,BARRINGTON STRIPE - FABRIC (INK/CREAM),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BR1003416P,BARRINGTON STRIPE- FABRIC(HARVEST CREAM),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BSR1P,BATES STRIPE - FABRIC (PINK/ROSE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BSR2P,BATES STRIPE - FABRIC (BLUE/GREEN),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BSR4P,BATES STRIPE - FABIRC (COASTAL),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BT30P,BROMPTON - FABRIC (WEDGEWOOD),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BT31P,BROMPTON - FABRIC (GULL),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BT32P,BROMPTON - FABRIC (POWDER),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BT33A1P,BROMPTON - FABRIC OUTDOOR (BLOSSOM),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BT33P,BROMPTON - FABIR C(BLOSSOM),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BT35P,BROMPTON - FABRIC (BUTTERCUP),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
BT36P,BROMPTON - FABRIC (HARBOR),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CH1008116P,CHESAPEKE - FABRIC (HARVEST),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CHM1P,CHAMBA - FABRIC (CHOCOLATE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CHM2P,CHAMBA - FABRIC (POOL),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CHM4P,CHAMBA - FABRIC (RUST),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CHM6P,CHAMBA - FABRIC (MALT),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CHM8P,CHAMBA - FABRIC (CORN),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CHP10A1-CP,CHESAPEAKE - FABRIC OUTDOOR (ORIENTAL B),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CHP11P,CHESAPEAKE - FABRIC (DAFFODIL),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CHP1P,CHESAPEAKE - FABRIC (POWDER),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CHP2P,CHESAPEAKE - FABRIC (ASH),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CHP3P,CHESAPEAKE - FABRIC (HEATHERED GRAY ),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CHP4P,CHESAPEAKE - FABRIC (POWDER),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CP1006303P,CAMPBELL - FABRIC (HYDRANGEA/HEMP),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CP1006307P,CAMPBELL - FABRIC (CINNABAR),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CP1006316P,CAMPBELL - FABRIC (HARVEST/HEMP),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CP1006320P,KEY BISCAYNE - FABRIC (CHOCOLATE/HEMP),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CP27P,CAMPBELL STRIPE - FABRIC (TAUPE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CP3P,CAMPBELL - FABRIC (POWDER),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CRW27P,COWRIE SHELLS - FABRIC (TAUPE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CS1007303P,CANVAS STRIPE - FABRIC (HYDRANGEA),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CS1007307P,CANVAS STRIPE - FABRIC (CINNABAR),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CS1007308P,CANVAS STRIPE - FABRIC (SLATE GREEN),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CS1007316P,CANVAS STRIPE - FABRIC (HARVEST),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CS1007321P,CANVAS STRIPE - FABRIC (SPROUT),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CST12A1P,CELESTINE - FABRIC OUTD. (NOCTURNE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CST12P,CELESTINE - FABRIC (NOCTURNE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CST16P,CELESTINE - FABRIC (BOUDOIR),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CST17P,CELESTINE - FABRIC (AMETHYST),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CST1A1P,CELESTINE - FABRIC OUTDOOR (WEDGEWOOD),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CST24-CP,CELESTINE - FABRIC (CUSTOM BROWN/TAN),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CST24P,CELESTINE - FABRIC (CASHMERE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CST32A2P,CELESTINE -OUTDOOR( MILL POND - A2),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CST32P,CELESTINE - FABRIC (MILL POND),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CST39P,CELESTINE - FABRIC (CORAL REEF),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CTW1P,CHATSWORTH - FABRIC (SPRUCE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CTW2P,CHATSWORTH - FABRIC (PEAT),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CTW4P,CHATSWORTH - FABRIC (SORBET),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CW1P,CREWELWORDK - FABRIC (NATURAL),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CW5P,CREWELWORK - FABRIC (TURQUOISE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CW6P,CREWELWORK - FABRIC (ACRON),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CWR17P,COWRIE SHELLS - FABRIC (LILAC),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CWR27P,COWRIE SHELLS - FABRIC (TAUPE),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CWR39A1P,COWRIE SHELLS - OUTDOOR FABRIC (CORAL),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CWR39P,COWRIE SHELLS - FABRIC (CORAL),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CWR41A1P,COWRIE SHELLS - KELP (OUTDOOR),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CWR41A4P,COWRIE SHELLS - OUTDOOR CUSTOM (KELP),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CWR41P,COWRIE SHELLS - FABRIC (KELP),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
CWR42P,COWRIE SHELLS - FABRIC (NAVY),,Fabric,,,,,,,,"	--> Select Material",,,,,,,A,,,,,,,,Screen Print,,,Everest
