Order-Line,Order number,Line Number,Order title,Customer name,Account Manager,Sales Rep,Line Description,Product Name,Material,Material Category,Material Sub Category,Storage type,Amount,Amount Numeric,Unit cost,Extended cost,Width per print,Prints across,Machine name,Machine mode,GL Code,Cost Step,Current Step,Order Status,Batch Id,Cost Transaction Date,Cost Created By,Line Revenue,Tags,Line Tags,Com Message Text
F0009438-1,F0009438,1,MTO (F0009438),F. SCHUMACHER & CO - MTO,,,Leaf Bloom,Leaf Bloom - 5016392 (Neutral),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",183 Linear Feet,183,0,0.08,30 inches,2,Bianca,300dpi,,Print,Invoiced,Invoiced,2460395,8/7/2025,SHELBY,,,10,
F0009596-1,F0009596,1,MTO (F0009596),F. SCHUMACHER & CO - MTO,,,Valletta,Valletta - 5013521 (Moonstone),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,Bianca,300dpi,,Print,Invoiced,Invoiced,2441912,7/31/2025,PKEEFER@FSCO.COM,,,10,
F0009634-1,F0009634,1,MTO (F0009634),F. SCHUMACHER & CO - MTO,,,Willa Check Small,Willa Check Small - 5012368 (Birch),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",123 Linear Feet,123,0,0.05,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2512869,8/22/2025,COCONNOR@FSCO.COM,,,10,
F0009734-1,F0009734,1,MTO (F0009734),F. SCHUMACHER & CO - MTO,,,Sequoia Stripe,Sequoia Stripe  - 5011530 (Brown),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",48 Linear Feet,48,0,0.02,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2525001,8/27/2025,JOE,,,10,
F0009761-1,F0009761,1,MTO (F0009761),F. SCHUMACHER & CO - MTO,,,Bloomsbury,Bloomsbury - 5013680 (LightPink),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.01,30 inches,2,XIA,300dpi,,Print,Invoiced,Invoiced,2410968,7/22/2025,SARAH,,,10,
F0009826-1,F0009826,1,MTO (F0009826),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Wide,Edwin Stripe Wide - 5011917 (Naturelle),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,Bianca,300dpi,,Print,Invoiced,Invoiced,2434389,7/30/2025,COCONNOR@FSCO.COM,,,10,
F0009845-1,F0009845,1,MTO (F0009845),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Wide,Edwin Stripe Wide - 5013625 (Straw),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2525003,8/27/2025,JOE,,,10,
F0009848-1,F0009848,1,MTO (F0009848),F. SCHUMACHER & CO - MTO,,,Star Anise,Star Anise - 5014940 (Mink),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.01,30 inches,2,Bianca,300dpi,,Print,Invoiced,Invoiced,2444749,8/1/2025,SHELBY,,,10,
F0009849-1,F0009849,1,MTO (F0009849),F. SCHUMACHER & CO - MTO,,,Watercolor Stripe,Watercolor Stripe  - 5011571 (Mineral),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.01,30 inches,2,Bianca,300dpi,,Print,Invoiced,Invoiced,2446691,8/1/2025,SHELBY,,,10,
F0009862-1,F0009862,1,MTO (F0009862),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5011871 (Sand),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",93 Linear Feet,93,0,0.04,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2529864,8/28/2025,JOE,,,10,
F0009880-1,F0009880,1,MTO (F0009880),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Wide,Edwin Stripe Wide - 5011917 (Naturelle),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",93 Linear Feet,93,0,0.04,30 inches,2,Bianca,300dpi,,Print,Invoiced,Invoiced,2434431,7/30/2025,COCONNOR@FSCO.COM,,,10,
F0009883-1,F0009883,1,MTO (F0009883),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5013603 (DarkGreen),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",39.4416 Linear Feet,39.4416,0,0.02,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2434385,7/30/2025,COCONNOR@FSCO.COM,,,10,
F0009897-1,F0009897,1,MTO (F0009897),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5011897 (Naturelle),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2508877,8/21/2025,COCONNOR@FSCO.COM,,,10,
F0009930-1,F0009930,1,MTO (F0009930),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5011883 (Seaglass),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.01,30 inches,2,XIA,300dpi,,Print,Invoiced,Invoiced,2525009,8/27/2025,JEANNE,,,10,
F0009936-1,F0009936,1,MTO (F0009936),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5011894 (Blush),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.01,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2468058,8/8/2025,COCONNOR@FSCO.COM,,,10,
F0009963-1,F0009963,1,MTO (F0009963),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5011870 (Buttercup),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",78 Linear Feet,78,0,0.03,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2535863,8/29/2025,JEANNE,,,10,
F0009964-1,F0009964,1,MTO (F0009964),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Wide,Edwin Stripe Wide - 5011909 (Leaf),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2512874,8/22/2025,COCONNOR@FSCO.COM,,,10,
F0009965-1,F0009965,1,MTO (F0009965),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5011893 (Butternut),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.01,30 inches,2,XIA,300dpi,,Print,Invoiced,Invoiced,2525010,8/27/2025,JEANNE,,,10,
F0010067-1,F0010067,1,MTO (F0010067),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5011898 (Linen),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,XIA,300dpi,,Print,Invoiced,Invoiced,2525011,8/27/2025,JEANNE,,,10,
F0010071-1,F0010071,1,MTO (F0010071),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5011899 (Mushroom),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.03,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2468061,8/8/2025,COCONNOR@FSCO.COM,,,10,
F0010088-1,F0010088,1,MTO (F0010088),F. SCHUMACHER & CO - MTO,,,Star Anise,Star Anise - 5014940 (Mink),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",44.6415 Linear Feet,44.6415,0,0.02,30 inches,2,Bianca,300dpi,,Print,Invoiced,Invoiced,2444751,8/1/2025,SHELBY,,,10,
F0010146-1,F0010146,1,MTO (F0010146),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5011871 (Sand),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",78 Linear Feet,78,0,0.03,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2529865,8/28/2025,JOE,,,10,
F0010180-1,F0010180,1,MTO (F0010180),F. SCHUMACHER & CO - MTO,,,Willa Check Large,Willa Check Large  - 5012358 (Birch),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",213 Linear Feet,213,0,0.09,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2538588,8/29/2025,JEANNE,,,10,
F0010201-1,F0010201,1,MTO (F0010201),F. SCHUMACHER & CO - MTO,,,Star Anise,Star Anise - 5014940 (Mink),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",48 Linear Feet,48,0,0.02,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2529860,8/28/2025,JOE,,,10,
F0010202-1,F0010202,1,MTO (F0010202),F. SCHUMACHER & CO - MTO,,,Valletta,Valletta - 5013521 (Moonstone),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",93 Linear Feet,93,0,0.04,30 inches,2,Bianca,300dpi,,Print,Invoiced,Invoiced,2460402,8/7/2025,SHELBY,,,10,
F0010316-1,F0010316,1,MTO (F0010316),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5013602 (Eucalyptus),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.01,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2525005,8/27/2025,JOE,,,10,
F0010378-1,F0010378,1,MTO (F0010378),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Wide,Edwin Stripe Wide - 5011914 (Blush),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",93 Linear Feet,93,0,0.04,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2538587,8/29/2025,JEANNE,,,10,
F0010424-1,F0010424,1,MTO (F0010424),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5011872 (Wheat),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",153 Linear Feet,153,0,0.07,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2545316,9/3/2025,JEANNE,,,10,
F0010426-1,F0010426,1,MTO (F0010426),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5011870 (Buttercup),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",138 Linear Feet,138,0,0.06,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2535861,8/29/2025,JEANNE,,,10,
F0010427-1,F0010427,1,MTO (F0010427),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5011873 (Butternut),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.01,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2529867,8/28/2025,JOE,,,10,
F0010455-1,F0010455,1,MTO (F0010455),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5011896 (Birch),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.01,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2550471,9/4/2025,JOE,,,10,
F0010494-1,F0010494,1,MTO (F0010494),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5011897 (Naturelle),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",108 Linear Feet,108,0,0.05,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2545205,9/3/2025,JEANNE,,,10,
F0010505-1,F0010505,1,MTO (F0010505),F. SCHUMACHER & CO - MTO,,,Star Anise,Star Anise - 5014940 (Mink),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",93 Linear Feet,93,0,0.04,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2529854,8/28/2025,JOE,,,10,
F0010556-1,F0010556,1,MTO (F0010556),F. SCHUMACHER & CO - MTO,,,Leaf Bloom,Leaf Bloom - 5016392 (Neutral),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",93 Linear Feet,93,0,0.1,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2554742,9/5/2025,JEANNE,,,10,
F0010558-1,F0010558,1,MTO (F0010558),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5011872 (Wheat),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.01,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2545317,9/3/2025,JEANNE,,,10,
F0010563-1,F0010563,1,MTO (F0010563),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5011868 (Citron),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",93 Linear Feet,93,0,0.04,30 inches,2,XIA,300dpi,,Print,Invoiced,Invoiced,2532879,8/28/2025,JEANNE,,,10,
F0010575-1,F0010575,1,MTO (F0010575),F. SCHUMACHER & CO - MTO,,,Watercolor Stripe,Watercolor Stripe  - 5011570 (Leaf),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",12.1476 Linear Feet,12.1476,0,0.01,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2545207,9/3/2025,JEANNE,,,10,
F0010592-1,F0010592,1,MTO (F0010592),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Wide,Edwin Stripe Wide - 5013625 (Straw),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",48 Linear Feet,48,0,0.02,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2525007,8/27/2025,JOE,,,10,
F0010599-1,F0010599,1,MTO (F0010599),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Wide,Edwin Stripe Wide - 5011917 (Naturelle),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.01,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2550453,9/4/2025,JEANNE,,,10,
F0010610-1,F0010610,1,MTO (F0010610),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5011873 (Butternut),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",138 Linear Feet,138,0,0.06,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2550466,9/4/2025,JOE,,,10,
F0010631-1,F0010631,1,MTO (F0010631),F. SCHUMACHER & CO - MTO,,,Watercolor Stripe,Watercolor Stripe  - 5011572 (Lavender),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",123 Linear Feet,123,0,0.05,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2550454,9/4/2025,JEANNE,,,10,
F0010632-1,F0010632,1,MTO (F0010632),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5013601 (Straw),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.01,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2547066,9/3/2025,JOE,,,10,
F0010641-1,F0010641,1,MTO (F0010641),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5013611 (Straw),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.04,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2569469,9/10/2025,JEANNE,,,10,
F0010688-1,F0010688,1,MTO (F0010688),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Wide,Edwin Stripe Wide - 5011910 (Buttercup),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.04,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2574922,9/11/2025,JEANNE,,,10,
F0010703-1,F0010703,1,MTO (F0010703),F. SCHUMACHER & CO - MTO,,,Star Anise,Star Anise - 5014940 (Mink),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.04,30 inches,2,XIA,300dpi,,Print,Invoiced,Invoiced,2582633,9/12/2025,COCONNOR@FSCO.COM,,,10,
F0010704-1,F0010704,1,MTO (F0010704),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5011871 (Sand),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",138 Linear Feet,138,0,0.15,30 inches,2,XIA,300dpi,,Print,Invoiced,Invoiced,2582636,9/12/2025,COCONNOR@FSCO.COM,,,10,
F0010723-1,F0010723,1,MTO (F0010723),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5013611 (Straw),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",123 Linear Feet,123,0,0.13,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2569472,9/10/2025,JEANNE,,,10,
F0010724-1,F0010724,1,MTO (F0010724),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Narrow,Edwin Stripe Narrow - 5011866 (Cobalt),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",48 Linear Feet,48,0,0.05,30 inches,2,XIA,300dpi,,Print,Invoiced,Invoiced,2577188,9/11/2025,JEANNE,,,10,
F0010726-1,F0010726,1,MTO (F0010726),F. SCHUMACHER & CO - MTO,,,Edwin Stripe Medium,Edwin Stripe Medium - 5013611 (Straw),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",63 Linear Feet,63,0,0.07,30 inches,2,Dakota Kai,300dpi,,Print,Invoiced,Invoiced,2569471,9/10/2025,JEANNE,,,10,
F0010727-1,F0010727,1,MTO (F0010727),F. SCHUMACHER & CO - MTO,,,Willa Check Small,Willa Check Small - 5012368 (Birch),"BNYNeuKaliss 60"" 315Y",BNY SUBSTRATES,PAPER,"60"" Roll",33 Linear Feet,33,0,0.04,30 inches,2,EMBER,300dpi,,Print,Invoiced,Invoiced,2577184,9/11/2025,JEANNE,,,10,
