PO Number,Line Number,Vendor name,Material,Storage,Unit Cost,Extended Cost,Vendor Sku,Description,Qty,Received Qty,Open Qty,Gl Code,Due date,Created by,Creation date,Last Updated By,Last Update Date,Invoice Number,Status,Source,Contract,Sales Order Status
169,1,OMNI W.C. INC,"PAROM01 30"" 250Y","30"" Roll - ROLL",1.62,1620,OM01,,1000,1000,0,,3/28/2025,BLAWLOR@FSCO.COM,2/28/2025,DFARLEY@FSCO.COM,3/12/2025,,Received Complete,Manual,,
166,1,OMNI W.C. INC,"PARCPG7101 30"" 500Y","30"" Roll - ROLL",0.99,2970,CPG7101,,3000,3000,0,,3/28/2025,BLAWLOR@FSCO.COM,2/28/2025,DFARLEY@FSCO.COM,3/12/2025,,Received Complete,Manual,,
165,1,OMNI W.C. INC,"BNYDG2061 60"" 250Y","60"" Roll - ROLL",5.01,15030,DG-2061-PEEL,,3000,4055,0,,3/28/2025,BLAWLOR@FSCO.COM,2/28/2025,COCONNOR@FSCO.COM,4/2/2025,,Received Complete,Manual,,
164,1,OMNI W.C. INC,"PARCPG7113 30"" 500Y","30"" Roll - ROLL",0.9,0,CPG7113-30,,0,0,0,,3/28/2025,BLAWLOR@FSCO.COM,2/28/2025,JMCDONOUGH2011@GMAIL.COM,3/27/2025,,Received Complete,Manual,,
157,1,EPIC TEXTILES,PARComo PFP Bleached,Fabric - ROLL,9.96,9960,Como PFP H56-735M,,1000,1062,0,,2/28/2025,BLAWLOR@FSCO.COM,2/19/2025,DFARLEY@FSCO.COM,3/12/2025,,Received Complete,Manual,,
148,1,Screen-Trans Development Corp.,SKOPHIL-MBD-SCT,Fabric - ROLL,11.01,11.01,SKOPHIL-MBD-SCT,,1,1,0,,2/21/2025,BLAWLOR@FSCO.COM,2/5/2025,BLAWLOR@FSCO.COM,2/28/2025,,Received Complete,Manual,,
147,1,OMNI W.C. INC,"PARCPG7113 60"" 500Y","60"" Roll - ROLL",1.8,0,CPG7113-60,,0,0,0,,2/10/2025,BLAWLOR@FSCO.COM,2/3/2025,BLAWLOR@FSCO.COM,2/3/2025,,Received Complete,Manual,,
146,1,OMNI W.C. INC,"PAROM01 30"" 250Y","30"" Roll - ROLL",1.62,972,OM01,,600,750,0,,2/28/2025,BLAWLOR@FSCO.COM,2/2/2025,BLAWLOR@FSCO.COM,2/28/2025,,Received Complete,Manual,,
144,1,Greenland Natural Textured Wallcoverings,PNW5004700 Silver,"36"" Roll - ROLL",4.29,43243.2,GRN5004700,,10080,10080,0,,5/2/2025,BLAWLOR@FSCO.COM,2/2/2025,JMCDONOUGH2011@GMAIL.COM,5/30/2025,,Received Complete,Manual,,
140,1,SIROTEX Srl,PARMark,Fabric - ROLL,12.39,12390,,,1000,1000,0,,8/15/2025,BLAWLOR@FSCO.COM,1/31/2025,DFARLEY@FSCO.COM,8/19/2025,,Received Complete,Manual,,
136,1,TWIL WALLCOVERINGS,PAR5004701 Oatmeal,"36"" Roll - ROLL",7.71,7524.96,5004701,,976,976,0,,2/7/2025,BLAWLOR@FSCO.COM,1/29/2025,DFARLEY@FSCO.COM,2/4/2025,,Received Complete,Manual,,
130,1,EPIC TEXTILES,PARComo PFP Bleached,Fabric - ROLL,9.24,36960,Como PFP H56-735M,,4000,4176.42,0,,2/21/2025,BLAWLOR@FSCO.COM,1/17/2025,DFARLEY@FSCO.COM,3/4/2025,,Received Complete,Manual,,
129,1,OMNI W.C. INC,"BNYOM61Gold 30"" 50Y","30"" Roll - ROLL",3.93,1572,OM-61-GOLD-MY-2022,,400,450,0,,2/14/2025,BLAWLOR@FSCO.COM,1/17/2025,BLAWLOR@FSCO.COM,9/8/2025,,Received Complete,Manual,,
127,1,OMNI W.C. INC,"BNYDG2061 60"" 250Y","60"" Roll - ROLL",4.41,17640,DG-2061-PEEL,,4000,4140,0,,2/14/2025,BLAWLOR@FSCO.COM,1/17/2025,JMCDONOUGH2011@GMAIL.COM,3/17/2025,,Received Complete,Manual,,
126,1,OMNI W.C. INC,"PARCPG7100 30"" 500Y","30"" Roll - ROLL",0.87,0,CPG7100-30,,0,0,0,,2/3/2025,BLAWLOR@FSCO.COM,1/16/2025,JMCDONOUGH2011@GMAIL.COM,3/17/2025,,Received Complete,Manual,,
125,1,OMNI W.C. INC,"PAROM07 30"" 250Y","30"" Roll - ROLL",1.59,1590,OM07,,1000,1000,0,,2/13/2025,BLAWLOR@FSCO.COM,1/16/2025,BLAWLOR@FSCO.COM,2/28/2025,,Received Complete,Manual,,
124,1,OMNI W.C. INC,"PARCPG7113 30"" 500Y","30"" Roll - ROLL",0.9,2700,CPG7113-30,,3000,3000,0,,2/13/2025,BLAWLOR@FSCO.COM,1/16/2025,DFARLEY@FSCO.COM,2/3/2025,,Received Complete,Manual,,
123,1,OMNI W.C. INC,"PARCPG7101 30"" 500Y","30"" Roll - ROLL",0.99,5940,CPG7101,,6000,6000,0,,2/13/2025,BLAWLOR@FSCO.COM,1/16/2025,DFARLEY@FSCO.COM,2/3/2025,,Received Complete,Manual,,
120,1,Rugs By Choice,PARKUBA CLOTH,Fabric - ROLL,31.59,3159,76700,,100,111,0,,5/30/2025,BLAWLOR@FSCO.COM,1/9/2025,DFARLEY@FSCO.COM,5/14/2025,,Received Complete,Manual,,
117,1,WALLQUEST,"BNYDGC57-V2NW-BW 57"" 100Y","57"" Roll - ROLL",5.79,5790,E001,,1000,1173,0,,1/27/2025,BLAWLOR@FSCO.COM,1/6/2025,JMCDONOUGH2011@GMAIL.COM,3/17/2025,,Received Complete,Manual,,
116,1,"Dwell America, LLC",PARSussex Bleached DWL,Fabric - ROLL,6.69,6690,Sussex Bleached,,1000,1378,0,,8/15/2025,BLAWLOR@FSCO.COM,1/6/2025,JMCDONOUGH2011@GMAIL.COM,8/18/2025,,Received Complete,Manual,,
114,1,TWIL WALLCOVERINGS,PAR5004722 Indigo,"36"" Roll - ROLL",7.71,5397,5004722,,700,703,0,,1/3/2025,BLAWLOR@FSCO.COM,12/27/2024,DFARLEY@FSCO.COM,1/10/2025,,Received Complete,Manual,,
112,1,LIBECO,PARA308 Oyster,Fabric - ROLL,15.72,7860,A308 oyster-0021 PFP 142 R05,,500,501.3,0,,1/17/2025,BLAWLOR@FSCO.COM,12/24/2024,DFARLEY@FSCO.COM,1/15/2025,,Received Complete,Manual,,
105,1,Gray Lines Linen,PARTwill Linen (HN-011),Fabric - ROLL,21.99,439.8,HN-011,,20,20,0,,12/30/2024,BLAWLOR@FSCO.COM,12/19/2024,BARI,1/2/2025,,Received Complete,Manual,,
104,1,Griswold,PARSailcloth (White),Fabric - ROLL,7.5,6000,,,800,800,0,,12/20/2024,BLAWLOR@FSCO.COM,12/10/2024,DFARLEY@FSCO.COM,3/24/2025,,Received Complete,Manual,,
103,1,Carr Textile Corp.,PARFrench Twill (White),Fabric - ROLL,4.74,2370,"MSF-WHT-59/60""",,500,500,0,,1/7/2025,BLAWLOR@FSCO.COM,12/10/2024,DFARLEY@FSCO.COM,1/10/2025,,Received Complete,Manual,,
102,1,OMNI W.C. INC,"PARCPG7100 40"" 250Y","40"" Roll - ROLL",5.22,3480,CPG7100-40,,2000,2000,0,,1/7/2025,BLAWLOR@FSCO.COM,12/10/2024,BLAWLOR@FSCO.COM,1/16/2025,,Received Complete,Manual,,
101,1,OMNI W.C. INC,"PAROM01 30"" 250Y","30"" Roll - ROLL",1.62,3240,OM01,,2000,2000,0,,1/7/2025,BLAWLOR@FSCO.COM,12/10/2024,BLAWLOR@FSCO.COM,1/16/2025,,Received Complete,Manual,,
99,1,Griswold,PAR377 BLEACHED,Fabric - ROLL,12,1200,377 Bleached,,100,100.5,0,,12/20/2024,BLAWLOR@FSCO.COM,12/9/2024,DFARLEY@FSCO.COM,12/16/2024,,Received Complete,Manual,,
98,1,ULSTER WEAVERS,PARMadden Oyster PFP,Fabric - ROLL,8.61,43050,MADOYS142PFP,,5000,5512.49,0,,5/15/2025,BLAWLOR@FSCO.COM,12/6/2024,DFARLEY@FSCO.COM,5/19/2025,,Received Complete,Manual,,
97,1,Gray Lines Linen,PARTwill Linen (HN-011),Fabric - ROLL,21.99,329.85,HN-011,,15,15,0,,12/13/2024,BLAWLOR@FSCO.COM,12/3/2024,DFARLEY@FSCO.COM,12/12/2024,,Received Complete,Manual,,
96,1,TWIL WALLCOVERINGS,PAR5004722 Indigo,"36"" Roll - ROLL",7.44,3720,5004722,,500,500,0,,12/6/2024,BLAWLOR@FSCO.COM,12/2/2024,BLAWLOR@FSCO.COM,12/13/2024,,Received Complete,Manual,,
93,1,BREWSTER HOME FASIONS,BNY5004716 48y Brewster Ivory,"36"" Roll - ROLL",18.57,18570,,,1000,1000,0,,11/22/2024,BLAWLOR@FSCO.COM,11/19/2024,DFARLEY@FSCO.COM,11/21/2024,,Received Complete,Manual,,
92,1,P K TEXTILES LIMITED,PARAgra AC (151 Fog),Fabric - ROLL,21.66,6498,AC-151 FOG,,300,330.54,0,,4/18/2025,BLAWLOR@FSCO.COM,11/19/2024,DFARLEY@FSCO.COM,4/29/2025,,Received Complete,Manual,,
90,1,JAT Home,T-2525 (Bleached),Fabric - ROLL,9.96,573.7,T-2525,,57.6,58.7,0,,12/16/2024,BLAWLOR@FSCO.COM,11/18/2024,DFARLEY@FSCO.COM,12/12/2024,,Received Complete,Manual,,
89,1,P K TEXTILES LIMITED,PARAgra AC (75000 Cream),Fabric - ROLL,19.5,39000,Agra AC (75000 Cream),,2000,2103.19,0,,4/18/2025,BLAWLOR@FSCO.COM,11/15/2024,DFARLEY@FSCO.COM,4/29/2025,,Received Complete,Manual,,
88,1,EPIC TEXTILES,PAROrbit Oyster,Fabric - ROLL,16.74,8370,H76A-735,,500,500.2,0,,12/20/2024,BLAWLOR@FSCO.COM,11/15/2024,DFARLEY@FSCO.COM,1/6/2025,,Received Complete,Manual,,
85,1,EPIC TEXTILES,PARComo Natural,Fabric - ROLL,11.25,11250,H56-735,,1000,1024.74,0,,12/12/2024,BLAWLOR@FSCO.COM,11/14/2024,DFARLEY@FSCO.COM,2/24/2025,,Received Complete,Manual,,
83,1,LIBECO,PARA435Oyster,Fabric - ROLL,12.42,4968,A435 oyster-0021 PFP 142 R05,,400,412.33,0,,11/19/2024,BLAWLOR@FSCO.COM,11/12/2024,DFARLEY@FSCO.COM,1/30/2025,,Received Complete,Manual,,
81,1,NEU KALISS SPZIALPAPIER,"BNYNeuKaliss 60"" 315Y","60"" Roll - ROLL",1.08,45457.2,TV130-1126-315,,42090,42090,0,,3/24/2025,BLAWLOR@FSCO.COM,11/11/2024,JMCDONOUGH2011@GMAIL.COM,6/13/2025,,Received Complete,Manual,,
75,1,AHLSTROM NONWOVENS LLC,"BNYAhlstrom 60"" 200Y","60"" Roll - ROLL",2.1,83115.9,WL09708D-200,,39579,39570,0,,10/31/2024,BLAWLOR@FSCO.COM,10/31/2024,JMCDONOUGH2011@GMAIL.COM,12/20/2024,,Received Complete,Manual,,
74,1,TWIL WALLCOVERINGS,PAR5010857 Mineral,"36"" Roll - ROLL",7.71,6669.15,5010857,,865,867,0,,11/1/2024,BLAWLOR@FSCO.COM,10/31/2024,DFARLEY@FSCO.COM,11/22/2024,,Received Complete,Manual,,
72,1,OMNI W.C. INC,"PARGR-FS-5003282 30"" 500Y","30"" Roll - ROLL",1.38,6900,"5003282 30"" 500Y",,5000,5000,0,,11/26/2024,BLAWLOR@FSCO.COM,10/29/2024,BLAWLOR@FSCO.COM,12/27/2024,,Received Complete,Manual,,
63,1,OMNI W.C. INC,"PARCPG7101 30"" 500Y","30"" Roll - ROLL",0.99,3960,CPG7101,,4000,4000,0,,11/12/2024,BLAWLOR@FSCO.COM,10/22/2024,BLAWLOR@FSCO.COM,1/16/2025,,Received Complete,Manual,,
62,1,TWIL WALLCOVERINGS,BNY5004716 96y Ivory,"36"" Roll - ROLL",7.71,38550,HARUKI-SISAL-96,,5000,5000,0,,11/8/2024,BLAWLOR@FSCO.COM,10/22/2024,BLAWLOR@FSCO.COM,1/16/2025,,Received Complete,Manual,,
61,1,OMNI W.C. INC,"BNYDG2061 60"" 250Y","60"" Roll - ROLL",4.41,13230,DG-2061-PEEL,,3000,3000,0,,11/19/2024,BLAWLOR@FSCO.COM,10/22/2024,BLAWLOR@FSCO.COM,1/16/2025,,Received Complete,Manual,,
59,1,HP,HP Latex 3600 Cleaning Kit,Printer Supplies - INK,790.73,790.73,CZ056-67390,,1,1,0,,11/8/2024,BLAWLOR@FSCO.COM,10/11/2024,BARI,10/28/2024,,Received Complete,Manual,,
55,1,EPIC TEXTILES,PARComo Bleached,Fabric - ROLL,8.94,17880,H56-735,,2000,2032.24,0,,10/25/2024,BLAWLOR@FSCO.COM,10/11/2024,BLAWLOR@FSCO.COM,10/31/2024,,Received Complete,Manual,,
54,1,CPS&S,GPS12100,Shipping Supplies -,144,1440,GPS12100,,10,10,0,,10/25/2024,BLAWLOR@FSCO.COM,10/11/2024,BLAWLOR@FSCO.COM,10/28/2024,,Received Complete,Manual,,
52,1,"P+W International Co., Ltd.",PNW5004705 Robin's Egg,"36"" Roll - ROLL",4.65,9300,5004705,,2000,2016,0,,4/24/2025,BLAWLOR@FSCO.COM,10/8/2024,JMCDONOUGH2011@GMAIL.COM,7/11/2025,,Received Complete,Manual,,
51,1,"P+W International Co., Ltd.",PNW5004716 Ivory,"36"" Roll - ROLL",4.65,46500,5004716,,10000,13728,0,,3/10/2025,BLAWLOR@FSCO.COM,10/8/2024,JMCDONOUGH2011@GMAIL.COM,9/18/2025,,Received Complete,Manual,,
48,1,EPIC TEXTILES,PARLeon Bleached,Fabric - ROLL,12.96,6480,LEON Bleached,,500,506.97,0,,9/27/2024,BLAWLOR@FSCO.COM,9/16/2024,BARI,10/28/2024,,Received Complete,Manual,,
302,1,SBI,SBI C-0 DWR Stain Treatment,TEMP - SHEET,2.65,1590,SBI C-0 DWR,,600,607.5,0,,9/5/2025,MMUNK@FSCO.COM,8/26/2025,MMUNK@FSCO.COM,9/5/2025,,Received Complete,Manual,,
291,1,OMNI W.C. INC,"BNYCPG7100 60"" 210Y","60"" Roll - ROLL",1.83,7301.7,CPG 7100 60”,,3990,3990,0,,9/1/2025,JMCDONOUGH2011@GMAIL.COM,8/12/2025,COCONNOR@FSCO.COM,9/4/2025,,Received Complete,Manual,,
290,1,Dolly Fabrics,PARSILK MATKA,Fabric - ROLL,39.99,1999.5,SILK MATKA WHITE,,50,55,0,,8/8/2025,JMCDONOUGH2011@GMAIL.COM,8/8/2025,DFARLEY@FSCO.COM,8/18/2025,,Received Complete,Manual,,
282,1,OMNI W.C. INC,"PARCPG7113 30"" 500Y","30"" Roll - ROLL",0.99,3960,CPG7113-30,,4000,4000,0,,8/1/2025,JMCDONOUGH2011@GMAIL.COM,7/31/2025,DFARLEY@FSCO.COM,8/14/2025,,Received Complete,Manual,,
277,1,OMNI W.C. INC,"PARCPG7100 30"" 500Y","30"" Roll - ROLL",0.87,2610,CPG7100-30,,3000,3000,0,,9/15/2025,JMCDONOUGH2011@GMAIL.COM,7/29/2025,DFARLEY@FSCO.COM,9/25/2025,,Received Complete,Manual,,
274,1,OMNI W.C. INC,"PARCPG7113 30"" 500Y","30"" Roll - ROLL",0.99,4950,CPG7113-30,,5000,5000,0,,9/15/2025,JMCDONOUGH2011@GMAIL.COM,7/23/2025,JMCDONOUGH2011@GMAIL.COM,9/26/2025,,Received Complete,Manual,,
271,1,SBI,SBI C-0 DWR Stain Treatment,TEMP - SHEET,2.75,27.5,SBI C-0 DWR,,10,10,0,,8/22/2025,MMUNK@FSCO.COM,7/23/2025,MMUNK@FSCO.COM,8/26/2025,,Received Complete,Manual,,
269,1,HOSPITALITY,Hospitality Ground,TEMP - SHEET,8.72,87.2,HOSPGround,,10,10,0,,7/23/2025,MMUNK@FSCO.COM,7/23/2025,MMUNK@FSCO.COM,7/30/2025,,Received Complete,Manual,,
267,1,OMNI W.C. INC,"BNYCPG7100 60"" 210Y","60"" Roll - ROLL",1.83,7301.7,CPG 7100 60”,,3990,3990,0,,7/28/2025,JMCDONOUGH2011@GMAIL.COM,7/23/2025,COCONNOR@FSCO.COM,7/30/2025,,Received Complete,Manual,,
266,1,EPIC TEXTILES,H73C-996 PFD WHITE,"60"" Roll - ROLL",11.46,8022,H73C-996 PFD WHITE,,700,700,0,,7/22/2025,MMUNK@FSCO.COM,7/22/2025,MMUNK@FSCO.COM,9/4/2025,,Received Complete,Manual,,
265,1,DYE INTO PRINT,SLF-WIN-COA,TEMP - SHEET,11,220,SLF-WIN-COA,,20,20,0,,7/28/2025,MMUNK@FSCO.COM,7/21/2025,MMUNK@FSCO.COM,9/4/2025,,Received Complete,Manual,,
258,1,WALLQUEST,E019 Vinal Sisal,"54"" Roll - ROLL",5.1,2550,E019,,500,770,0,,7/25/2025,JMCDONOUGH2011@GMAIL.COM,7/3/2025,COCONNOR@FSCO.COM,7/30/2025,,Received Complete,Manual,,
256,1,SBI,SBI C-0 DWR Stain Treatment,TEMP - SHEET,2.75,1100,SBI C-0 DWR,,400,410,0,,7/18/2025,MMUNK@FSCO.COM,6/30/2025,MMUNK@FSCO.COM,7/30/2025,,Received Complete,Manual,,
252,1,DYE INTO PRINT,SLF-KIM-PEA,TEMP - SHEET,9.25,1850,SLF-KIM-PEA,,200,205,0,,7/11/2025,MMUNK@FSCO.COM,6/16/2025,MMUNK@FSCO.COM,9/4/2025,,Received Complete,Manual,,
251,1,WALLQUEST,BNY Vinyl Sisal,"54"" Roll - ROLL",5.1,2550,E001DGBNW300,,500,500,0,,7/7/2025,JMCDONOUGH2011@GMAIL.COM,6/12/2025,COCONNOR@FSCO.COM,7/3/2025,,Received Complete,Manual,,
246,1,EPIC TEXTILES,PARComo Semi-Natural,Fabric - ROLL,11.25,10125,H56-735,,900,903.49,0,,6/25/2025,JMCDONOUGH2011@GMAIL.COM,6/11/2025,LIFTSUPPORT,9/19/2025,,Received Complete,Manual,,
240,1,SBI,SBI C-0 DWR Stain Treatment,TEMP - SHEET,2.75,838.75,SBI C-0 DWR,,305,305,0,,6/12/2025,MMUNK@FSCO.COM,6/4/2025,MMUNK@FSCO.COM,6/26/2025,,Received Complete,Manual,,
235,1,OMNI W.C. INC,"PARCPG7113 30"" 500Y","30"" Roll - ROLL",0.99,2475,CPG7113-30,,2500,2500,0,,8/15/2025,JMCDONOUGH2011@GMAIL.COM,5/30/2025,DFARLEY@FSCO.COM,8/14/2025,,Received Complete,Manual,,
234,1,OMNI W.C. INC,"PARCPG7113 30"" 500Y","30"" Roll - ROLL",0.99,2970,CPG7113-30,,3000,3000,0,,7/28/2025,JMCDONOUGH2011@GMAIL.COM,5/30/2025,JMCDONOUGH2011@GMAIL.COM,9/18/2025,,Received Complete,Manual,,
229,1,TWIL WALLCOVERINGS,PARHBD1018T Blanc,"36"" Roll - ROLL",7.71,22412.97,HBD1018T,,2907,2907,0,,5/16/2025,DFARLEY@FSCO.COM,5/16/2025,DFARLEY@FSCO.COM,5/16/2025,,Received Complete,Manual,,
219,1,OMNI W.C. INC,"PARCPG7113 30"" 500Y","30"" Roll - ROLL",0.99,3960,CPG7113-30,,4000,4000,0,,6/30/2025,JMCDONOUGH2011@GMAIL.COM,5/1/2025,JMCDONOUGH2011@GMAIL.COM,8/13/2025,,Received Complete,Manual,,
218,1,OMNI W.C. INC,"PARCPG7113 30"" 500Y","30"" Roll - ROLL",0.99,4455,CPG7113-30,,4500,4500,0,,5/22/2025,JMCDONOUGH2011@GMAIL.COM,5/1/2025,JMCDONOUGH2011@GMAIL.COM,9/12/2025,,Received Complete,Manual,,
216,1,P K TEXTILES LIMITED,PARThar (Ivory),Fabric - ROLL,14.58,7290,THAR IVORY,,500,624.71,0,,4/30/2025,DFARLEY@FSCO.COM,4/29/2025,DFARLEY@FSCO.COM,5/14/2025,,Received Complete,Manual,,
215,1,OMNI W.C. INC,"BNYCPG7100 60"" 210Y","60"" Roll - ROLL",1.83,7686,CPG 7100 60”,,4200,4200,0,,4/25/2025,DFARLEY@FSCO.COM,4/25/2025,DFARLEY@FSCO.COM,4/25/2025,,Received Complete,Manual,,
204,1,OMNI W.C. INC,"BNYCPG7100 60"" 210Y","60"" Roll - ROLL",1.83,6148.8,CPG 7100 60”,,3360,3360,0,,9/15/2025,JMCDONOUGH2011@GMAIL.COM,4/9/2025,JMCDONOUGH2011@GMAIL.COM,9/26/2025,,Received Complete,Manual,,
203,1,OMNI W.C. INC,"BNYCPG7100 60"" 210Y","60"" Roll - ROLL",1.83,6148.8,CPG 7100 60”,,3360,3360,0,,8/15/2025,JMCDONOUGH2011@GMAIL.COM,4/9/2025,COCONNOR@FSCO.COM,8/26/2025,,Received Complete,Manual,,
202,1,OMNI W.C. INC,"BNYCPG7100 60"" 210Y","60"" Roll - ROLL",1.83,6148.8,CPG 7100 60”,,3360,3360,0,,7/15/2025,JMCDONOUGH2011@GMAIL.COM,4/9/2025,DFARLEY@FSCO.COM,7/21/2025,,Received Complete,Manual,,
201,1,OMNI W.C. INC,"BNYCPG7100 60"" 210Y","60"" Roll - ROLL",1.83,6148.8,CPG 7100 60”,,3360,3360,0,,6/15/2025,JMCDONOUGH2011@GMAIL.COM,4/9/2025,COCONNOR@FSCO.COM,7/3/2025,,Received Complete,Manual,,
199,1,OMNI W.C. INC,"PARCPG7100 30"" 500Y","30"" Roll - ROLL",0.87,5220,CPG7100-30,,6000,6000,0,,7/15/2025,JMCDONOUGH2011@GMAIL.COM,4/9/2025,DFARLEY@FSCO.COM,7/21/2025,,Received Complete,Manual,,
198,1,OMNI W.C. INC,"PARCPG7100 30"" 500Y","30"" Roll - ROLL",0.87,5220,CPG7100-30,,6000,6000,0,,6/15/2025,JMCDONOUGH2011@GMAIL.COM,4/9/2025,DFARLEY@FSCO.COM,6/18/2025,,Received Complete,Manual,,
197,1,OMNI W.C. INC,"PARCPG7100 30"" 500Y","30"" Roll - ROLL",0.87,3915,CPG7100-30,,4500,4500,0,,5/23/2025,JMCDONOUGH2011@GMAIL.COM,4/9/2025,DFARLEY@FSCO.COM,5/28/2025,,Received Complete,Manual,,
196,1,OMNI W.C. INC,"PARCPG7100 30"" 500Y","30"" Roll - ROLL",0.87,4350,CPG7100-30,,5000,5000,0,,4/15/2025,JMCDONOUGH2011@GMAIL.COM,4/9/2025,DFARLEY@FSCO.COM,4/25/2025,,Received Complete,Manual,,
195,1,TWIL WALLCOVERINGS,PARFAB255,"36"" Roll - ROLL",10.95,1051.2,WS5068 -8,,96,96,0,,4/9/2025,JMCDONOUGH2011@GMAIL.COM,4/9/2025,DFARLEY@FSCO.COM,5/2/2025,,Received Complete,Manual,,
194,1,EPIC TEXTILES,H73C-996 PFD WHITE,"60"" Roll - ROLL",34.35,11450,H73C-996 PFD WHITE,,1000,1030,0,,6/15/2025,MMUNK@FSCO.COM,4/8/2025,MMUNK@FSCO.COM,9/4/2025,,Received Complete,Manual,,
193,1,SBI,SBI C-0 DWR Stain Treatment,TEMP - SHEET,2.65,2457.88,SBI C-0 DWR,,927.5,927.5,0,,4/15/2025,MMUNK@FSCO.COM,4/8/2025,MMUNK@FSCO.COM,5/6/2025,,Received Complete,Manual,,
191,1,DYE INTO PRINT,SLF-LIL-COA,TEMP - SHEET,3.08,1848,SLF-LIL-COA,,600,600,0,,5/26/2025,MMUNK@FSCO.COM,3/31/2025,MMUNK@FSCO.COM,3/31/2025,,Received Complete,Manual,,
190,1,OMNI W.C. INC,"BNYCPG7100 60"" 210Y","60"" Roll - ROLL",1.83,9223.2,CPG 7100 60”,,5040,5040,0,,3/24/2025,DFARLEY@FSCO.COM,3/28/2025,JMCDONOUGH2011@GMAIL.COM,3/30/2025,,Received Complete,Manual,,
184,1,DYE INTO PRINT,SLF-LIL-PIS_DIP,TEMP - SHEET,9.25,925,SLF-LIL-PIS_DIP,,100,100,0,,5/19/2025,MMUNK@FSCO.COM,3/25/2025,MMUNK@FSCO.COM,6/26/2025,,Received Complete,Manual,,
179,1,DYE INTO PRINT,SLF-KIM-PEA,TEMP - SHEET,10.25,2050,SLF-KIM-PEA,,200,200,0,,4/25/2025,MMUNK@FSCO.COM,3/11/2025,MMUNK@FSCO.COM,5/6/2025,,Received Complete,Manual,,
